visitorid,recommendation_timestamp,rank_1_itemid,rank_2_itemid,rank_3_itemid,rank_4_itemid,rank_5_itemid,rank_6_itemid,rank_7_itemid,rank_8_itemid,rank_9_itemid,rank_10_itemid,rank_11_itemid,rank_12_itemid,rank_13_itemid,rank_14_itemid,rank_15_itemid,rank_16_itemid,rank_17_itemid,rank_18_itemid,rank_19_itemid,rank_20_itemid
3215,2015-09-01 03:00:00+00:00,220165,125809,69707,234682,422955,22154,130401,233391,280216,326079,407650,114985,8984,65096,206428,420996,271567,291681,304134,381004
3390,2015-09-01 03:00:00+00:00,171042,30502,433759,399608,16031,21393,56537,89295,142066,143210,149379,181276,230724,261060,292975,301222,303831,319126,324163,390007
3493,2015-09-01 03:00:00+00:00,455347,194064,10935,14656,62077,63338,86297,89821,93595,98990,108765,121304,151282,154722,160054,186780,209149,222930,225137,231407
4266,2015-09-01 03:00:00+00:00,31625,333588,351530,145504,344269,24593,116968,403346,4115,19476,24119,27483,44297,44656,57193,71398,78862,96075,125421,144365
4308,2015-09-01 03:00:00+00:00,261910,36280,91581,100945,111392,138044,269882,461488,144090,207668,291561,165019,107927,198572,36297,69508,106310,143966,153520,216806
4590,2015-09-01 03:00:00+00:00,382429,420651,377277,224557,341094,71068,207633,40023,119112,465018,154327,431816,234630,236601,104992,332823,2849,106104,125379,87517
4716,2015-09-01 03:00:00+00:00,41422,106374,408737,415818,158677,25404,302195,458669,278107,35431,63621,108442,145156,219267,243888,258097,273512,281115,301119,340246
4878,2015-09-01 03:00:00+00:00,341701,11663,326449,399592,179601,170262,28833,51906,66798,84416,111420,138414,140360,151119,188126,222597,223911,225706,271527,275596
4944,2015-09-01 03:00:00+00:00,165823,275115,313284,397013,122890,440129,318965,206089,280487,365299,30117,246117,442706,354964,326510,392734,17601,227211,368057,63682
4955,2015-09-01 03:00:00+00:00,71629,320741,443355,13297,251610,365721,114477,209896,4860,249953,255459,289050,379481,28900,449571,187946,461686,5411,370653,257040
5148,2015-09-01 03:00:00+00:00,218965,428085,268634,277890,47906,10321,90248,204644,314499,232897,417342,126396,155973,184342,225021,256952,291920,56878,59222,129380
5857,2015-09-01 03:00:00+00:00,21535,156685,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447,37029,320130
6182,2015-09-01 03:00:00+00:00,139016,353110,456154,170810,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447
6245,2015-09-01 03:00:00+00:00,282431,354097,183351,29527,143341,207866,290949,454139,293197,92009,272728,176776,1518,162724,265151,277166,278555,115744,218532,239555
6399,2015-09-01 03:00:00+00:00,248455,546,128296,187946,252344,175058,277390,383416,275575,338125,158677,149582,385857,2980,209050,134992,408043,336645,180288,264958
6533,2015-09-01 03:00:00+00:00,2651,149253,48291,193908,105868,416219,1761,4699,20878,27646,32431,53452,85742,111787,112794,118221,125706,143459,143609,144090
7127,2015-09-01 03:00:00+00:00,150318,282692,21573,324946,10628,25097,27646,35316,37902,43593,58822,62697,66180,70964,80183,97811,98117,103272,108211,111787
7255,2015-09-01 03:00:00+00:00,134725,265133,389549,453155,347893,140479,223761,419023,419193,22879,81364,181458,225159,340898,400570,71832,374747,177951,21767,74589
7555,2015-09-01 03:00:00+00:00,183049,320058,28833,51906,66798,151119,188126,392163,435470,115567,276571,24739,210811,233138,414287,236927,256857,406750,27646,35923
7883,2015-09-01 03:00:00+00:00,5411,358234,89143,33030,369310,37807,260193,459936,154821,375492,46865,108576,158959,317437,367437,1761,32431,58822,62697,85742
8132,2015-09-01 03:00:00+00:00,269333,460522,63585,66549,227860,68109,306483,443200,83997,461707,247983,456659,130679,140263,61977,303482,496,291557,181363,226597
8139,2015-09-01 03:00:00+00:00,266825,393028,314310,6133,11475,13393,14866,15230,19476,20878,21095,21335,25274,25281,27922,30627,32330,34944,34962,40322
8316,2015-09-01 03:00:00+00:00,219804,340158,48972,448057,3188,10413,10935,13422,14656,28833,40542,51906,62077,63338,66798,86297,89821,93595,98990,108765
8323,2015-09-01 03:00:00+00:00,207003,307389,320217,443451,115988,146487,167400,360029,28752,396233,402370,43671,112027,273298,45056,394713,108251,363601,69385,167672
8402,2015-09-01 03:00:00+00:00,23593,91455,127608,199336,270507,287523,10259,12381,27734,38715,48129,93229,112962,118998,125420,126709,138589,173276,177439,184406
8411,2015-09-01 03:00:00+00:00,392689,233138,414287,101637,243257,252067,274978,308463,350305,438388,52249,52943,168838,199302,252463,375289,41470,88764,159156,192587
8540,2015-09-01 03:00:00+00:00,251248,147632,238433,378754,464821,6248,431457,20110,406609,27024,92885,156010,188636,344581,396447,403153,349431,365569,455115,24842
8927,2015-09-01 03:00:00+00:00,274813,48641,253024,74505,221859,306590,143418,23990,30436,68447,154436,155733,192120,221792,222516,268487,333167,339569,341534,361192
8972,2015-09-01 03:00:00+00:00,407692,63136,300559,302948,538,1874,3710,5024,11227,12320,17817,18274,22128,25042,31454,37484,110310,256668,330559,375458
9085,2015-09-01 03:00:00+00:00,88555,373863,75622,291674,1885,289786,207171,319269,204023,51133,431871,217387,277096,112419,385611,6070,274975,92765,233936,131219
9087,2015-09-01 03:00:00+00:00,159792,66900,202922,71761,318750,277390,7704,112065,227563,284668,395401,10935,14656,35664,49557,62077,63338,86297,89821,93595
9145,2015-09-01 03:00:00+00:00,59399,283100,350790,399427,35713,63649,104203,224105,229340,265046,334607,466336,51832,102896,159154,210345,265025,384468,429510,1669
9590,2015-09-01 03:00:00+00:00,68210,71944,76244,208932,4689,10259,38715,93229,112962,118998,125420,126709,138589,173276,191285,210876,217417,219257,220367,247355
9661,2015-09-01 03:00:00+00:00,62275,429380,146613,372169,437778,235559,456056,25762,94437,420162,128745,428648,329133,150882,162652,442725,359734,222196,462394,283766
9863,2015-09-01 03:00:00+00:00,51782,425368,85674,308438,443157,266900,421337,432478,438322,314073,368947,432992,422022,96127,276494,869,330090,23990,30436,68447
9890,2015-09-01 03:00:00+00:00,148552,405332,327173,61762,44688,125213,17420,53007,241429,84104,328243,188232,360880,155189,337740,430751,401546,14011,172063,284824
10068,2015-09-01 03:00:00+00:00,410279,446937,254596,392925,204922,303281,121377,236578,299347,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943
10643,2015-09-01 03:00:00+00:00,233734,247909,342913,68511,239010,328087,216142,276791,278813,300907,101791,122496,128973,131733,139692,302756,351687,310318,41081,50176
11101,2015-09-01 03:00:00+00:00,126985,241782,57496,62981,155024,216507,393712,414847,269773,68616,244543,334971,453946,295404,308229,113776,165302,116165,333334,147125
11266,2015-09-01 03:00:00+00:00,15771,63765,404641,245221,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447
11297,2015-09-01 03:00:00+00:00,159822,132723,90389,29082,230223,244422,261288,234261,193987,269432,182523,163486,95448,452481,203444,391955,439272,161371,162652,267660
11355,2015-09-01 03:00:00+00:00,64776,150007,241498,455275,128992,157365,128185,58790,125547,177608,251076,258262,306583,389092,204728,268587,379483,202654,390635,450616
11660,2015-09-01 03:00:00+00:00,29940,216305,259884,342816,342264,441734,30573,48072,140853,154034,10628,23997,35316,43593,187359,13043,122329,315006,27646,60999
11678,2015-09-01 03:00:00+00:00,396186,238447,396099,275937,352070,24383,52419,66895,78167,151496,153488,215805,259048,279629,287716,297545,425942,438607,439869,449331
11733,2015-09-01 03:00:00+00:00,126761,208556,165811,370337,33623,51203,286442,302792,173290,362613,221874,252660,284069,349348,443889,14096,34683,187946,461686,5411
11893,2015-09-01 03:00:00+00:00,329937,450526,259679,107389,277946,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255
11919,2015-09-01 03:00:00+00:00,104908,35385,199032,137507,47718,183095,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668
12302,2015-09-01 03:00:00+00:00,268263,219798,351853,360444,174616,2790,7947,41191,42925,55820,71816,91592,132186,139340,141384,150976,159375,201537,204844,224036
12462,2015-09-01 03:00:00+00:00,63651,98467,188751,384157,441691,379535,337070,336544,412149,46865,278717,99470,1669,6992,34852,60056,70100,71560,82904,110671
12589,2015-09-01 03:00:00+00:00,428753,415553,98341,336166,287007,368403,194151,420162,298336,449540,180288,277390,333191,22161,16885,35554,76854,120009,358892,154553
13078,2015-09-01 03:00:00+00:00,191581,257251,308779,362528,347530,357844,366993,455842,137970,4115,8224,8561,10935,14656,18316,19476,26833,29878,40898,44297
13518,2015-09-01 03:00:00+00:00,188723,205702,138414,223911,271527,286455,296423,21547,25068,37972,56697,60013,64954,71241,71670,82010,88501,100917,110653,111070
13762,2015-09-01 03:00:00+00:00,103242,31257,37378,171396,283919,375888,246818,223171,330967,538,1874,3710,5024,10935,11227,12320,12601,13422,14656,17817
14056,2015-09-01 03:00:00+00:00,129982,274460,108529,200345,207911,231654,250030,337831,365004,376799,459411,326609,76494,167334,173525,310863,322226,322783,343379,352209
14185,2015-09-01 03:00:00+00:00,198267,252517,379680,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447,37029
14376,2015-09-01 03:00:00+00:00,275118,326213,129984,327214,62498,296185,425936,80953,85262,86479,374826,13422,125742,131616,133250,143601,224166,230215,329110,352232
14400,2015-09-01 03:00:00+00:00,834,135334,195296,217060,280240,215668,259609,190987,88402,299592,94179,119438,124067,147083,196871,229955,246392,260489,289353,330107
14653,2015-09-01 03:00:00+00:00,163901,253218,407876,98974,288758,5554,323837,332428,318860,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943
14741,2015-09-01 03:00:00+00:00,125868,184903,132624,365673,35181,71191,137411,156480,253576,268271,297682,315030,346225,436732,443618,446238,407692,326283,108442,110310
14940,2015-09-01 03:00:00+00:00,38830,114888,207785,373128,3621,4422,9934,19409,30229,75106,84090,107200,107481,117464,123231,154565,164515,171737,189064,214903
15001,2015-09-01 03:00:00+00:00,200270,451591,159799,300909,332864,334993,380754,385374,450444,85755,295178,361936,380957,392165,444332,49958,77330,320331,438508,445216
15005,2015-09-01 03:00:00+00:00,452147,262868,145575,197385,240771,298290,298697,349167,62162,104608,257574,312257,331863,357741,30067,95087,1235,142615,195090,209675
15084,2015-09-01 03:00:00+00:00,340946,416640,108521,336021,343628,334635,380371,124187,226847,294858,231344,105632,48072,187946,461686,5411,370653,257040,309778,298009
15163,2015-09-01 03:00:00+00:00,128745,162139,429380,302195,6917,458669,255972,446420,25404,225105,176484,192721,97453,158677,262797,415818,290014,291404,206305,331575
15227,2015-09-01 03:00:00+00:00,158221,236062,268755,21312,242403,261944,322581,421857,448774,408019,274151,81884,332255,1049,30681,44055,70635,80313,99484,140168
15431,2015-09-01 03:00:00+00:00,184903,365673,407692,108442,110310,181831,256668,273512,301119,330559,352532,362087,375458,393774,184465,302195,290014,38813,51005,55350
15653,2015-09-01 03:00:00+00:00,178118,112538,371985,100532,70317,374873,414402,215764,448135,155034,455473,956,5922,20866,27350,48443,56023,61932,67393,69955
15866,2015-09-01 03:00:00+00:00,35929,330792,426775,227961,440782,392576,96924,63564,394998,231328,340093,149957,74494,33805,93144,46345,385475,189892,332486,417636
16069,2015-09-01 03:00:00+00:00,102158,424533,323198,27127,459604,409977,410460,370590,77203,301770,188124,45378,174996,251798,347472,194396,418069,229112,249884,289061
16133,2015-09-01 03:00:00+00:00,151410,86057,189847,309557,441966,3608,11379,19480,24806,40401,41191,45025,49074,49250,56309,58162,59051,63852,68019,70459
16725,2015-09-01 03:00:00+00:00,83450,300670,326846,352230,199336,270507,12381,27734,48129,407006,10259,38715,285069,110837,164989,169809,220261,228890,413834,126143
16823,2015-09-01 03:00:00+00:00,21455,424932,213432,403745,425258,62252,180870,355364,74885,181469,363828,432868,14418,111417,236590,99298,323536,440450,229301,345755
17028,2015-09-01 03:00:00+00:00,6092,222592,130121,258155,367032,184628,350629,314019,95448,154553,388689,337286,13001,109327,352559,176810,92186,182523,222196,460261
17348,2015-09-01 03:00:00+00:00,308053,171762,314068,112566,235880,357844,366993,455842,108308,116968,262646,4115,10628,10935,14656,26700,35316,43593,44297,51987
17362,2015-09-01 03:00:00+00:00,240509,153303,18717,83663,445124,318225,208820,307941,346655,148855,293808,196797,465522,216920,227770,372759,12381,27734,48129,177439
17423,2015-09-01 03:00:00+00:00,178927,372973,124004,45722,80735,101025,111325,131771,135043,144071,144090,144203,171076,203710,230877,291561,353304,382492,21037,22295
17490,2015-09-01 03:00:00+00:00,231476,365844,124890,83068,226114,279815,51542,46443,326436,243882,251349,187946,461686,5411,370653,257040,309778,298009,219512,96924
17629,2015-09-01 03:00:00+00:00,156302,230397,192875,68326,271208,227024,366732,45439,159156,309665,453177,53727,81704,113438,256815,344489,453454,4259,53888,168597
17939,2015-09-01 03:00:00+00:00,316753,344723,66752,69688,179856,245852,390591,416850,457590,90660,93659,190131,273710,287233,326706,401193,23990,30436,262878,60303
17970,2015-09-01 03:00:00+00:00,14553,258850,182972,302807,221625,242972,322195,278412,100821,80782,392918,145787,342978,348033,389052,435802,442138,256646,324956,187437
18007,2015-09-01 03:00:00+00:00,66194,458321,334795,168648,91820,184654,209729,302866,344783,54209,56071,27260,111295,406773,37619,53398,65391,120769,380651,381055
18044,2015-09-01 03:00:00+00:00,99228,339635,52439,371155,27993,283858,244205,371731,404293,222268,153642,214489,66556,10935,14656,62077,63338,65495,78540,86297
18188,2015-09-01 03:00:00+00:00,138884,139296,321257,457900,6133,11475,13393,14866,15230,21095,21335,25274,25281,27922,30627,32330,34944,34962,40322,42613
18193,2015-09-01 03:00:00+00:00,258084,98984,270527,51334,6133,11475,13393,14866,15230,21095,21335,25274,25281,27922,30627,32330,34944,34962,40322,42613
18416,2015-09-01 03:00:00+00:00,358817,74614,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447,37029,320130
18617,2015-09-01 03:00:00+00:00,432076,159459,240753,11195,37987,92290,232642,450815,30600,49995,86735,87071,182569,259958,264846,292272,315055,436349,267660,169991
18905,2015-09-01 03:00:00+00:00,11250,328642,11847,155677,231560,409448,422022,451334,449177,388380,1510,56505,74237,94536,111436,152284,199279,246647,283776,312384
18934,2015-09-01 03:00:00+00:00,119538,386631,462872,410887,47030,189405,6946,46308,88642,112099,137999,174803,210507,245100,271145,321110,333266,396383,429224,446154
19063,2015-09-01 03:00:00+00:00,29167,57638,255285,334601,338096,415280,1214,2405,3058,3637,3701,4388,4547,4682,5389,5611,5626,7205,7291,7466
19111,2015-09-01 03:00:00+00:00,254278,131385,199478,247909,308504,163964,277463,73394,74602,277189,220174,372394,349537,380810,455240,340380,428648,112855,377449,12017
19177,2015-09-01 03:00:00+00:00,108486,446411,320130,26228,41763,201249,355852,152644,6022,19476,27654,78862,94483,136302,138414,144365,152376,160813,162278,211193
19702,2015-09-01 03:00:00+00:00,217537,437006,407252,308296,292433,108442,181831,273512,301119,362087,393774,3342,162208,59628,243452,36956,41940,266263,361253,165966
19736,2015-09-01 03:00:00+00:00,416703,185,1157,2759,6847,8661,10126,10629,13984,15413,16779,18539,18699,25864,27332,28690,39839,41838,44113,45379
20078,2015-09-01 03:00:00+00:00,218033,31169,218178,429180,123,4359,12459,20878,23047,46196,53452,78450,112794,118221,124077,125706,137471,166147,197398,197599
20209,2015-09-01 03:00:00+00:00,384302,219512,301843,190536,19752,206880,89688,110529,56505,312445,455240,402403,260093,420162,78155,48291,216225,91105,267232,162652
20390,2015-09-01 03:00:00+00:00,52993,176584,239884,462422,101722,457116,30806,88232,144988,268023,268272,339518,381360,454343,27483,111420,120898,125421,294215,305132
20463,2015-09-01 03:00:00+00:00,153199,177183,201643,26564,133075,230963,198724,29895,152835,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943
20670,2015-09-01 03:00:00+00:00,179578,227161,372845,186214,95598,1049,30681,44055,70635,80313,99484,140168,142751,148651,164846,165416,186817,219502,230595,272255
20811,2015-09-01 03:00:00+00:00,202825,437106,10935,14656,62077,63338,86297,89821,93595,98990,108765,121304,151282,154722,160054,186780,209149,216732,222930,225137
21033,2015-09-01 03:00:00+00:00,180861,297238,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447,37029,320130
21100,2015-09-01 03:00:00+00:00,350629,397236,432348,73398,176810,17189,452484,10700,372394,15962,55572,112758,163287,212907,318750,357844,299665,352559,38122,337286
21350,2015-09-01 03:00:00+00:00,194562,306763,135000,238445,41769,42925,54144,55820,141384,145207,224036,306609,338466,419366,433931,466210,327083,42819,3621,4422
21460,2015-09-01 03:00:00+00:00,231150,324579,423619,416383,97604,67153,273508,301849,231942,332553,388461,272063,342569,86315,128542,84467,150812,79527,445232,77365
21518,2015-09-01 03:00:00+00:00,123468,27292,190287,354960,57620,327331,357545,317003,148146,38748,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302
21610,2015-09-01 03:00:00+00:00,261087,456792,320494,422425,122412,139280,107535,44986,167399,193828,402580,315545,418729,370360,39439,56000,380237,106615,313403,189635
21682,2015-09-01 03:00:00+00:00,27146,400731,272780,348840,12381,27734,48129,67163,177439,184406,320459,389645,383215,43872,50102,63067,85268,106124,109030,126004
21690,2015-09-01 03:00:00+00:00,200425,299677,194537,244252,367102,105108,41191,71816,91592,139340,150976,204844,228675,255575,255840,276143,294939,298461,305052,343433
22074,2015-09-01 03:00:00+00:00,3136,386172,371551,100735,23870,77402,309273,27332,28970,57932,65623,87113,93488,100546,152187,368377,371983,448563,58493,129781
22386,2015-09-01 03:00:00+00:00,24734,435013,124528,349266,40751,252954,96675,254957,93706,17561,21547,30269,35087,37972,44757,51822,58822,59841,62697,71670
22606,2015-09-01 03:00:00+00:00,75905,22389,301813,375492,1049,30681,44055,51289,70635,80313,99484,126746,140168,142751,146705,148651,164846,165416,183001,186817
22696,2015-09-01 03:00:00+00:00,106374,302168,44839,158677,290014,25404,188666,229057,302195,265914,342211,425142,458669,177106,35431,63621,108442,119546,126243,127478
22806,2015-09-01 03:00:00+00:00,154401,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447,37029,320130,48030
22983,2015-09-01 03:00:00+00:00,109618,411934,14428,243355,375822,232129,110151,10935,14656,62077,63338,86297,89821,93595,98990,108765,121304,122496,151282,154722
23036,2015-09-01 03:00:00+00:00,244267,405176,316338,95283,326227,315387,50411,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530
23052,2015-09-01 03:00:00+00:00,17419,102306,46443,159380,251349,39190,226114,309402,14181,339887,423148,380169,435834,84149,295676,191334,252678,162294,459044,281083
23076,2015-09-01 03:00:00+00:00,22516,80290,140934,345373,29712,301278,205231,149582,19276,83569,127123,179856,212556,215363,322342,355752,434289,19476,78862,10935
23206,2015-09-01 03:00:00+00:00,138931,312996,454137,67304,237106,10935,14656,20878,25068,53452,56697,62077,63338,71241,86297,89821,93595,98990,108765,112794
23411,2015-09-01 03:00:00+00:00,233695,40866,6946,46023,88642,91698,101883,112099,120898,137767,153432,167985,180002,210507,211873,271145,321110,322332,346216,358336
24077,2015-09-01 03:00:00+00:00,397531,160249,395662,417927,6133,11475,13393,14866,15230,21095,21335,25274,25281,27922,30627,32330,34944,34962,40322,42613
24116,2015-09-01 03:00:00+00:00,32581,461686,257040,412324,218794,171878,165058,10572,350171,250375,75392,266965,108924,180405,113712,309778,125275,333039,362495,38751
24180,2015-09-01 03:00:00+00:00,160380,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447,37029,320130,48030
24248,2015-09-01 03:00:00+00:00,133558,112214,149041,174083,23990,30436,68447,154436,155733,192120,221792,268487,333167,339569,341534,361192,386763,389632,395758,395994
24262,2015-09-01 03:00:00+00:00,342522,99701,199115,438370,17370,292601,446976,335486,295125,190293,7804,320494,187946,461686,5411,370653,257040,309778,298009,219512
24780,2015-09-01 03:00:00+00:00,161623,454784,274798,331311,91105,384603,154553,115426,393028,162652,415263,182523,312445,428648,357844,396750,441415,25762,338395,367690
24838,2015-09-01 03:00:00+00:00,452160,198552,418234,179496,362867,34355,353941,95598,225257,204057,119736,255725,46232,266900,441852,187946,461686,5411,370653,257040
24840,2015-09-01 03:00:00+00:00,409804,322501,14520,250191,46232,152395,371204,412865,13422,131616,133250,143601,224166,329110,383752,244405,266480,13427,428353,322018
24853,2015-09-01 03:00:00+00:00,169413,100108,3548,9710,23907,29340,32614,47306,56519,65274,78627,79709,88723,108530,110629,126660,137043,185390,185477,189667
24966,2015-09-01 03:00:00+00:00,195115,394608,321054,368083,270144,15980,329718,422022,335505,463311,109115,161518,1510,22748,94536,111436,152284,199279,246647,283776
25156,2015-09-01 03:00:00+00:00,386209,193840,321325,414712,321246,28134,460184,349889,457711,415331,90230,391598,446522,3621,4422,9934,19409,30229,75106,84090
26002,2015-09-01 03:00:00+00:00,45596,104630,370622,460084,402,836,3347,13376,13453,16645,16887,17781,17946,20603,20890,25218,27733,29282,29894,35908
26143,2015-09-01 03:00:00+00:00,281091,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447,37029,320130,48030
26195,2015-09-01 03:00:00+00:00,289361,264691,235673,224369,407356,111097,204980,58151,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975
26228,2015-09-01 03:00:00+00:00,190534,298869,382787,14086,58252,70044,203592,236946,241261,249452,265762,286870,297388,313621,314992,355299,362479,380211,416049,425201
26330,2015-09-01 03:00:00+00:00,119057,254423,151206,206392,391417,454625,8523,832,173736,323525,389356,442912,458783,267547,457213,406727,74389,87706,124313,129594
26343,2015-09-01 03:00:00+00:00,228012,91438,192245,275792,297618,158641,48722,52682,60706,70379,160084,207247,438392,163287,357844,29632,32108,36799,42577,50566
26871,2015-09-01 03:00:00+00:00,395435,391239,427979,134707,538,1874,3710,5024,11227,12320,17817,18274,21547,22128,24833,25042,31454,37484,37972,60655
26964,2015-09-01 03:00:00+00:00,301602,459701,443142,92732,151043,187129,13422,131616,133250,139000,143601,224166,329110,383752,397384,455898,459302,237589,222326,322348
27067,2015-09-01 03:00:00+00:00,47666,159513,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447,37029,320130
27075,2015-09-01 03:00:00+00:00,133907,428103,264917,98807,17974,65495,78540,101699,125196,128721,169230,273722,295955,317597,350177,376335,380356,397595,439107,458965
27143,2015-09-01 03:00:00+00:00,101292,464760,305119,45722,80735,101025,111325,131771,135043,144071,144203,171076,203710,230877,353304,382492,421458,398174,244716,288428
27256,2015-09-01 03:00:00+00:00,222268,135963,405666,441414,296652,283858,396709,160473,79528,41955,113199,209907,285949,292412,336616,342553,385740,456390,199265,357298
27329,2015-09-01 03:00:00+00:00,439070,349178,245485,347244,406403,321162,309656,33165,47883,65408,67839,70260,81415,96145,115952,148984,156909,157273,161986,165047
27721,2015-09-01 03:00:00+00:00,158772,339884,280142,289980,440961,60633,166912,248169,298348,410679,233009,306242,404010,445678,450459,11825,151045,292339,429437,74894
28219,2015-09-01 03:00:00+00:00,55124,456602,390475,19476,78862,144365,222417,285563,287184,293865,306948,311433,428000,429115,440662,465017,435796,33645,51186,62339
28273,2015-09-01 03:00:00+00:00,102131,176817,178843,240792,120231,257230,461686,187946,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668
28286,2015-09-01 03:00:00+00:00,125831,163102,45722,80735,101025,111325,131771,135043,144071,144203,171076,203710,230877,446755,353304,382492,399748,22295,32781,51370
28290,2015-09-01 03:00:00+00:00,279922,86827,366428,181373,293821,12381,27734,48129,177439,184406,434571,44025,88948,362899,7914,43872,50102,85268,106124,109030
28314,2015-09-01 03:00:00+00:00,60214,151206,206392,391417,82039,375332,832,80511,102186,173736,389356,417611,442912,70480,87069,87706,124313,129594,149306,162038
28321,2015-09-01 03:00:00+00:00,63077,410804,407929,98666,158003,321905,80026,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530
28674,2015-09-01 03:00:00+00:00,90240,146896,128721,309417,202907,538,1874,3710,5024,11227,12320,17817,18274,22128,25042,31454,37484,60655,61583,64247
28742,2015-09-01 03:00:00+00:00,158666,226089,403576,379535,12601,25714,27694,33100,36093,46385,51219,52001,56070,60840,63348,74147,84664,97727,100742,101404
28824,2015-09-01 03:00:00+00:00,72143,156591,255708,45678,72779,81267,184854,191058,249990,314368,390459,121017,330970,430117,150950,275074,355237,108373,171509,202370
28995,2015-09-01 03:00:00+00:00,26205,57803,386607,291559,65118,77733,316255,446714,161395,344071,188080,216687,125656,184769,226086,237505,268645,367528,378849,380602
29001,2015-09-01 03:00:00+00:00,252344,546,248455,128296,247339,458109,314019,399730,2980,406714,385857,63662,283919,425593,432779,116514,17323,358428,388689,391049
