visitorid,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
5929,354233,341482,29100,400946,158666,272770,369158,247909,279457,461686,301721,29196,190070,119736,456005,456056,453618,379520,82278,315543
6168,4001,29100,428257,345279,84160,315543,112782,283916,158666,348154,12217,243355,109618,222604,351481,286731,286044,42002,268335,288340
6180,272770,400946,84160,453618,109618,69974,341482,243355,29100,369158,247909,285729,194791,301721,304537,186256,272976,330506,375822,112782
6241,369447,316753,65273,341482,82278,231482,253615,339703,315545,279457,409804,69533,320494,198209,455183,299038,274435,215596,384302,422425
6468,65273,316753,253615,339703,409804,22436,344723,320130,299038,198209,341482,393028,325852,279457,369447,446934,37029,192413,190070,367664
6561,272770,400946,29100,112782,453618,84160,69974,109618,869,303828,243355,308438,369158,118551,247909,194791,9877,325310,285729,304537
6565,37029,122604,320130,438484,389158,334520,51650,445351,49621,14671,57788,46130,29196,100282,213834,425951,463617,108486,342530,56303
6693,65273,445749,272770,158666,390591,320130,170811,255725,405770,380971,304877,91105,412898,272976,438412,77902,271953,303776,450641,124272
6780,315545,320494,422425,193828,388097,456792,402580,380237,119636,370360,156813,246634,106615,39439,418729,10540,385769,48030,289844,189635
7127,369447,37029,316753,320130,315543,247909,150318,16813,110151,111530,259884,198209,280375,215596,379520,409804,210087,282692,829,134191
7194,5411,312728,161623,232509,12217,290999,69533,272770,445351,187946,339703,48030,247909,291877,29100,415610,441668,29196,179601,316753
7324,84160,411373,272770,89775,316753,350103,350399,180751,310514,61273,67438,297513,103961,153625,108458,449023,376793,179601,408504,463617
7341,316753,341482,272770,354233,112782,102306,290999,122604,869,400946,198209,231482,91755,84160,312728,422425,12217,309778,314789,415610
7483,290999,341482,247909,184903,365673,389158,272770,184465,279457,29100,221638,389814,29196,90240,461091,57788,407692,14430,261673,240262
7603,151444,161135,339531,225778,42145,331030,54376,317827,207344,295002,331209,28924,101066,389338,53636,388481,4991,84160,393028,122604
7625,445351,48030,369447,299222,89775,29196,65273,318333,315543,22436,253615,303715,213834,111530,272324,360487,204494,175356,11670,11663
7904,112782,65273,369447,299222,247909,102306,190000,339703,441852,320130,253615,341482,303715,175356,89775,447661,22436,367664,318333,271896
7981,374092,399031,432152,382751,367664,424515,46232,257575,381982,315543,140861,243980,29196,360905,138936,89262,158666,429595,27736,212917
8542,69533,29196,312728,84160,112782,316753,215596,448220,133814,12217,341482,400946,422356,242905,257200,37029,232509,379520,301721,62549
8653,29196,312728,869,266900,303828,118551,254418,308438,409804,58638,303715,46232,272770,341482,438322,89044,276494,69533,432478,12217
8883,445351,316753,231482,12217,84160,122604,448044,438484,100282,213834,321905,312728,455183,400946,395845,62549,460188,232509,118914,384302
8903,48030,29100,299222,219512,303715,112782,420960,446522,389814,148103,445351,320130,324718,231482,248455,344071,73311,227211,243355,266900
8927,231482,455183,321905,118914,204494,355994,48030,328696,128908,460188,340960,306590,422356,277490,448044,454818,395845,373128,143418,456005
8974,37029,316753,272770,65273,29196,253615,409804,441668,312728,234255,57788,339703,122604,280375,100282,46232,234493,279457,218746,320130
9381,247909,257040,369447,445351,29196,161623,341482,119736,369158,334273,315543,7943,62275,456056,12217,299222,227318,150882,17478,318333
9590,29196,312728,369447,69533,341482,37029,142466,409804,161623,91105,41979,219512,358895,360825,456005,46232,339703,334273,23762,299038
9855,102306,159380,84160,17419,46443,29100,133907,251349,158666,441852,198996,65273,247909,339703,290250,270291,451806,316753,354233,253615
10643,247909,445351,133907,369447,29100,290999,234255,354233,68000,158666,315543,109618,299222,320130,243355,279457,112782,216305,453618,257040
10784,298009,335975,341482,29100,91755,299222,96924,89044,303715,303828,369447,48030,58638,65273,869,38965,432478,241555,370653,367664
10867,247909,312728,332629,445351,12217,290999,369447,374092,68000,232509,314789,315543,392074,292444,369158,441852,85579,339703,334920,315545
11033,151444,133907,69533,29196,312728,215596,219512,112782,369447,161623,161135,232509,84160,12217,190000,91105,445351,424515,46232,242905
11119,133907,445351,48030,37029,247909,384302,84160,213834,441668,438484,231482,455183,341482,345279,243355,441852,9877,309778,869,119736
11373,234255,461686,280375,118914,152433,179601,113535,16813,442131,189381,318333,243250,360487,282385,355752,243600,391289,283896,97139,191303
11549,461686,171878,32581,445749,10572,461061,276494,29100,445105,308438,82586,287449,227161,69974,110151,138017,340093,34853,353519,143689
11590,187946,234255,354233,5411,142466,370653,29100,384302,241555,9877,38965,325310,232509,37115,335975,412622,389158,242905,12217,252319
11874,48030,455183,232509,133907,29100,119736,400946,441852,69533,46156,231482,320130,15948,546,345279,11279,248455,37029,320494,409804
12188,316753,37029,341482,29100,441852,350629,403,445351,279457,7943,323084,286731,232172,268883,463617,167337,372188,299222,422425,461671
12242,12217,291877,341482,312728,441668,320130,17478,441852,48030,69533,190070,119736,272770,314789,232509,309821,436004,243980,89356,116624
12250,400946,272770,111530,84160,341482,374092,453618,109618,133814,7943,369158,29100,382751,112782,255725,301721,285729,459475,243355,361956
12356,69533,133907,290999,445351,354233,84160,369447,158666,213834,316753,242905,179601,37029,247909,393028,215596,355994,441852,274798,384302
12589,142466,441852,290999,449912,29100,368403,12217,348154,155214,93020,158273,372169,242905,286731,179601,82278,116624,345279,354585,119736
12772,112782,29100,304877,12217,312728,56782,40864,42002,257655,17478,315543,304628,55925,345279,228392,380971,89775,153767,5675,272976
12784,29100,231482,48030,316753,455183,232509,15948,400946,321905,315545,328696,384302,118914,350629,91755,448044,355994,422356,277490,128908
12901,374092,399031,367664,424515,382751,243980,292444,212216,432152,2836,140861,120541,372845,89262,257575,279052,360487,96883,347414,186214
13188,29196,303828,316753,303715,266900,272770,69533,869,118551,254418,421337,209994,339703,185246,308438,453618,162525,454422,133647,158666
13426,48030,29100,161623,133814,7943,379092,158666,461671,32412,246687,319674,436485,81434,344921,347479,354881,51060,26284,27606,196477
13737,29100,48030,316753,232509,455183,15948,400946,384302,315545,231482,350629,91755,272770,328696,69533,62549,441668,422425,448044,321905
13848,37029,29196,342530,464731,280328,441668,325852,315543,422356,308967,422425,436115,241752,368841,78883,402696,378676,381613,254861,264179
14185,5411,341482,187946,91755,461686,247909,9877,133907,241555,399031,102306,370653,393028,441852,84160,420960,325310,212216,12217,320130
14400,369447,65273,341482,161623,393028,279457,112782,455183,257040,274798,409804,89775,316753,268335,328696,260256,274435,253615,456005,389814
14735,48030,445351,316753,29100,234255,400946,213834,299222,84160,253615,122604,109618,438484,12217,455183,243355,330035,389814,446820,161623
14894,48030,445351,299222,441852,29196,247909,441668,290999,29100,46156,119736,384302,190000,420960,416017,248455,318333,546,92466,372169
14941,48030,316753,339703,65273,320130,116624,384302,409804,231482,198209,228075,341482,291877,133907,455183,15948,272770,137697,118894,305016
14960,298009,180751,262258,63119,160878,115183,227112,92456,312060,59834,179049,199697,37900,239249,431010,107163,268702,82389,262281,216305
15019,29100,341482,445351,112782,393028,422425,6720,389158,233734,370395,324391,17379,44465,379390,242905,51650,317376,189265,389814,50648
15074,37029,445351,316753,464731,393028,155319,422356,434688,195360,315543,150547,233734,448220,444163,12609,248601,228644,52039,358230,175299
15084,219512,5411,384302,111530,161623,303828,29100,303715,389814,869,118551,58638,308438,48030,34843,254418,272770,112782,400946,190000
15163,312728,162139,272770,128745,46232,157743,429380,29196,409804,150103,176484,69974,546,290269,66752,91888,100393,344388,261673,51275
15227,179601,190000,277490,116624,445351,268335,340960,268883,168927,358211,294807,291877,228075,345086,166306,361288,212767,118894,342530,279457
15242,29196,369447,48030,29100,312728,34843,69974,393028,213834,299222,389814,409804,272770,92465,400946,162139,412898,46109,409492,270532
15529,445351,65273,231482,315545,68000,190070,415610,339703,55161,299222,370395,66424,52039,442172,390934,374092,314789,450082,133907,340825
15556,102306,159380,316753,29100,441852,17419,46443,84160,22436,65273,133907,291877,29196,325852,312728,446820,37029,251349,4001,253615
15670,69533,382751,29100,48704,374092,260539,114866,276245,332018,140861,322973,166691,347812,264604,27442,383084,174529,267051,215308,124919
15766,112782,272770,400946,312728,84160,320130,257040,389158,12217,109618,111530,315543,62549,339703,125751,234255,159822,453618,243355,266900
15866,96924,340093,385475,74494,93144,137144,176424,258188,309821,155625,413869,195453,207749,440129,139487,14387,172605,314996,99093,165823
16003,374092,111530,399031,382751,367664,424515,257040,243980,432152,272770,316753,212216,292444,372845,2836,140861,120541,9877,279052,29100
16443,29100,420960,286731,283916,268883,179601,4001,222604,48030,148103,242905,449912,290999,187934,428257,345279,116624,279457,25762,161623
16700,84160,441852,341482,272770,380971,369158,290999,109618,393028,400946,17478,384302,119736,355994,243355,301721,82278,56782,279457,354233
16884,29196,312728,133907,400946,320537,184199,4001,13696,158666,102467,388974,159780,428257,315545,335331,91105,194151,246997,309778,345034
17220,234255,316753,91755,445351,29100,133907,335975,69533,299222,161623,312728,247909,290999,12217,253615,369447,242905,158666,232509,446820
17267,441668,29196,37029,48030,299222,320130,289633,243355,109618,65273,360487,22436,231482,268883,393768,86057,134767,428257,318333,420960
17676,133907,231482,69533,48030,455183,355994,369447,215596,321905,118914,460188,328696,204494,422356,128908,234255,340960,454818,441852,456005
17879,316753,312728,339703,389158,232509,62549,48030,125751,112782,257040,116624,270950,417927,7943,91839,320130,350629,244458,422561,91105
17939,316753,65273,253615,339703,409804,344723,22436,312728,198209,46232,325852,299038,234493,320130,272770,78163,446820,109618,62549,122604
18007,232509,29100,312728,161623,48030,69533,316753,12217,441668,315545,290999,37029,290250,215596,149275,15948,299222,91105,190070,384302
18211,111530,400946,459475,235224,393028,115323,272770,389158,84160,115696,394678,315543,225257,342530,280328,374092,259884,196797,195360,456005
18330,29196,341482,279457,369158,365673,272770,34843,389814,321089,69974,184199,162139,546,17478,445676,84160,235559,412898,369447,157743
18908,272770,400946,84160,341482,453618,369158,109618,29100,247909,243355,301721,112782,285729,69974,374092,194791,444593,111530,314789,133907
19224,29100,161623,428257,411886,69533,243355,4001,84160,101288,344071,250019,231482,268883,158666,109618,114137,29196,150882,172894,461671
19359,48030,247909,9877,241555,29100,38965,290999,393111,869,320130,325310,89775,266900,112782,283115,84310,303715,315543,299222,389158
19420,369447,274435,69533,341482,133907,315543,215596,455183,279457,316753,82278,379520,356129,215172,456056,198209,119736,150882,431276,387373
19682,29100,445351,231482,455183,422356,321905,340960,277490,299222,434688,209994,204494,76196,48030,101288,464731,240170,272907,118914,52039
19702,316753,272770,312728,46232,409804,369447,29196,253615,261673,162139,22436,290999,389814,69974,445351,34843,157743,90240,65273,437006
19713,247909,29100,272770,109618,453618,290999,243355,369447,400946,315543,320130,374092,285729,110151,291877,48030,32843,187138,118551,389158
19771,7943,369447,29196,312728,299222,445351,257040,232509,318333,303715,315543,12217,367664,48030,424515,374092,382751,399031,241555,69533
20163,5411,441668,234255,37029,335975,151444,111530,257040,290999,355994,65273,112782,179601,219512,242905,460188,384302,11279,190000,118914
20300,341482,29100,445351,422425,438484,389158,122604,299222,7943,90240,446820,57788,463617,380237,167337,194270,161623,425951,356455,49621
20301,309778,195360,424186,413990,129672,421884,381265,225257,159822,315543,412622,328696,224184,61273,299915,115696,191726,262051,250618,338161
20326,461686,115323,393028,289103,235224,459475,140861,422356,276704,334920,464731,389158,394678,456005,177522,223003,178163,342530,451312,171771
20334,316753,445351,341482,57788,122604,389158,69533,438484,56303,213834,446820,400946,356455,90240,425951,448044,327640,231482,330035,167337
20352,5411,369447,234255,247909,441852,161623,69533,445351,299222,399031,12217,354233,298009,158666,424515,318333,315543,291877,335975,215596
20581,341482,29100,369158,119736,247909,17478,299222,231482,48030,420960,456056,25762,216305,268883,62275,314789,437778,338395,372169,301721
20670,374092,399031,424515,382751,367664,243980,212216,432152,292444,372845,2836,120541,140861,89262,341482,279052,257575,347414,360487,96883
20722,445351,341482,231482,316753,455183,321905,122604,29100,57788,118914,438484,213834,422356,277490,41803,129560,340960,240170,311929,276383
20789,29100,290999,445351,247909,400946,243355,232509,22926,213834,133814,444365,179601,158666,355994,138427,109618,316753,100282,12217,127080
21109,65273,112782,48030,441852,142466,369447,299222,268883,320130,283916,190000,231482,247909,369933,22436,244458,422425,288340,420960,248455
21340,354233,65273,369447,29196,247909,409804,133907,158666,253615,133814,412898,272770,389814,290999,22436,393028,46232,279457,34843,69974
21530,29196,312728,69533,341482,409804,46232,234255,369447,37029,441668,420960,299222,102306,334273,266900,318333,334401,7943,54875,8827
21689,37029,320130,389158,316753,48030,247909,122604,234255,339703,409804,65273,57788,253615,84160,112782,334520,51650,244458,12217,272770
21954,341482,247909,374092,29100,367664,112782,65273,399031,369158,292444,290999,382751,243980,424515,212216,120541,2836,432152,279052,140861
22066,369447,316753,29196,312728,253615,339703,46232,409804,133907,290999,158666,69533,344723,441668,22436,65273,61303,232509,198209,350629
22148,161623,393028,274798,91105,384302,247909,359251,115426,454784,350103,459848,48030,290999,331311,341482,190000,11279,206880,219512,321850
22151,29100,48030,7943,114137,29196,428257,369447,299222,411886,290999,4001,413990,243355,274798,321722,179601,22436,446934,51354,402047
22383,112782,48030,257040,393111,299222,339703,247909,310944,417927,190000,89044,119736,92466,290999,431276,266900,29196,241555,204494,308438
22444,48030,416017,119736,441852,299222,29100,369447,445351,369158,461686,456056,329133,231482,268883,17478,62275,146613,190000,257040,213834
22678,29100,7943,48030,345279,161623,315543,133814,42002,441668,91105,321905,455183,222604,304877,272976,38680,232509,45543,77902,389814
22695,400946,359491,350629,29100,389158,62549,405770,393111,12765,255725,133907,138427,103156,37029,279531,159822,455183,181493,93558,191106
22998,29100,158666,290999,66405,179807,112782,382437,247909,360922,29196,350724,100393,453432,354881,211451,342823,223739,191746,227309,128816
23397,48030,12217,29100,316753,232509,112782,312728,7943,315543,369447,320130,247909,409804,234255,339703,161623,389158,56782,272770,290999
23874,369447,7943,315545,29100,441668,29196,111530,320494,298009,422425,370653,218626,355994,445105,204494,69974,82586,387652,445749,402462
24102,354881,84160,247909,369447,234255,7943,316753,119736,339703,125751,389158,257040,315543,150882,23762,243355,379390,196477,366177,158666
24104,231482,455183,321905,355994,118914,328696,369447,161623,460188,422356,393028,204494,340960,128908,48030,456005,448044,277490,268335,395845
24116,257040,360487,367664,359844,452852,135900,347414,414410,450455,350399,88606,258608,98051,393768,178362,320786,257575,432152,87557,133907
24150,179601,441852,341482,290999,445351,441668,291877,116624,247909,84160,7943,294807,228075,320130,190000,384302,339808,305016,13224,420960
24197,111530,247909,369158,29100,341482,374092,272770,314789,119736,400946,279457,301721,133907,62275,459475,367664,453618,17478,85579,372169
24238,445351,69533,312728,29196,133907,12217,316753,84160,231482,400946,213834,448044,341482,438484,444365,232509,215596,122604,460188,62549
24427,29196,37029,370653,290999,219512,384302,369447,111530,445351,179601,299222,257040,7943,367664,441668,234255,242905,65273,46232,190000
24772,316753,161623,339703,65273,253615,384302,91105,312728,369447,315545,409804,232509,198209,344723,320494,299038,46232,22436,393028,341482
24840,29196,316753,312728,409804,46232,253615,65273,339703,22436,272770,369447,198209,344723,37029,320130,162139,69533,78163,248455,234255
25020,290999,179601,11663,242905,170262,399592,449912,441852,73852,12217,84310,355994,442131,112782,338307,22926,257200,280375,130709,247909
25156,445351,29196,299222,48030,369447,446522,268883,420960,318333,303715,272907,76196,234255,65273,309778,283916,247909,312781,424506,360877
25525,374092,399031,382751,424515,341482,272770,367664,400946,212216,112782,243980,432152,292444,120541,140861,2836,279052,372845,89262,84160
25574,272770,17478,65273,369158,312728,184199,162139,261673,190070,133907,409804,46232,279457,272976,37029,243980,257655,42002,82278,389814
26038,279457,179601,382885,342530,268335,316753,283916,116624,121489,50648,420960,286731,268883,315543,134118,303828,355752,4001,12217,388974
26131,231482,355994,321905,455183,204494,369447,306590,118914,243355,240170,128908,454818,218626,446522,188148,424506,460188,226374,272907,277490
26189,445749,10572,164344,429846,278216,212917,444365,245349,314201,145403,454784,268081,48378,23762,324290,138427,116022,46156,438092,434652
26226,48030,37029,445351,142466,12217,232509,122604,213834,312728,320130,84160,299222,29196,438484,100282,315543,247909,119736,69533,829
26296,9877,241555,325310,38965,84160,109618,400946,272770,412622,283115,37115,243355,239006,265571,111530,247909,453618,252319,82377,319680
26343,445351,299222,369447,29196,247909,312728,48030,65273,384302,354233,34843,204494,111530,89044,206241,367664,374092,5470,339703,303715
26467,445351,29196,369447,290999,312728,84160,179601,48030,11663,12217,315543,247909,213834,399592,280328,381613,318333,441852,22436,422356
26472,12217,312728,445351,369447,231482,69533,232509,29196,247909,100282,84160,316753,339703,161623,355994,315543,215596,428891,387373,68000
26948,272770,400946,29100,112782,374092,453618,869,341482,109618,303828,308438,84160,382751,254418,118551,369158,243355,111530,266900,285729
27191,29100,290999,179601,234255,316753,318333,341482,8523,108021,170262,219512,79378,268883,37254,65273,420960,286731,299222,442131,89775
27256,109618,243355,69533,29100,65273,299222,215715,235224,299677,447995,62549,101288,318333,339517,424515,273936,4001,29196,268883,200425
27329,48030,234255,445351,112782,29100,316753,455183,384302,257040,400946,231482,247909,272770,303715,369447,869,213834,109618,422425,133907
27360,445351,299222,247909,84160,213834,438484,12217,100282,122604,318333,441668,68000,234255,11279,330035,315543,243355,48030,340825,384302
27375,179601,369447,280375,290999,16813,12217,175356,84160,170262,11663,318333,89775,441852,442131,391289,316753,360487,243250,294438,428554
27634,312728,29196,384302,69533,12217,232509,414460,316753,241555,9877,82278,290999,92466,215868,445351,334401,242905,119736,38965,392074
27685,48030,133907,455183,441668,384302,445351,393028,37029,84160,65273,231482,109618,441852,243355,309778,355994,328696,11279,350629,279457
27773,37029,48030,441668,445351,65273,339703,320130,253615,5470,415610,159822,316753,417927,215868,458637,339808,389158,190070,314789,184199
27784,341482,29100,445351,57788,389158,299222,7943,122604,422425,438484,90240,184465,446820,247167,112782,380237,56303,365673,393028,184903
27808,37029,272770,133907,29196,29100,112782,400946,312728,69974,453618,46232,409804,247909,162139,122604,261673,389814,365673,272976,389158
27930,29100,344071,69533,243355,170262,51354,7943,446522,322489,318333,204494,89775,268081,165337,29196,357133,442131,104254,448044,234255
28228,400946,84160,393028,89775,280375,175356,334273,206880,16813,174538,277264,11663,299222,379520,432011,372845,268335,272324,387318,438484
28288,29100,445351,48030,316753,12217,232509,299222,312728,290999,100282,374092,112782,424515,122604,315543,124272,444365,382751,438484,213834
28742,354233,133907,158666,133814,247909,234255,65273,29100,369447,378637,190070,339703,445351,290999,390591,68000,253615,316753,323194,98425
29291,316753,29100,232509,315543,184199,12217,82278,459475,4001,409804,14671,91105,312728,8347,455183,345279,355325,299606,112782,444593
29309,133907,69533,215596,369447,29196,312728,133814,354233,232509,158666,441852,12217,234255,355994,242905,170811,350629,414460,108618,240900
29732,441852,25762,350629,334401,238865,372169,146613,456056,301721,338395,89202,400442,369158,119736,212917,103960,211451,439963,213834,73852
29758,369447,48030,315543,142466,318333,46156,89044,327799,113535,458271,388974,391289,441852,152433,116624,268081,280328,339763,289633,23762
29802,65273,29196,231482,341482,320130,316753,29100,339703,119736,272770,23762,360825,290003,234255,445749,89323,321905,446522,272907,48030
30273,37029,65273,247909,320130,316753,7943,369447,109618,393028,29100,340921,399053,47863,19883,324946,150877,198209,334920,243355,315545
30297,29196,341482,312728,272770,445351,290999,369447,46232,309778,69974,409804,461686,247909,213834,162139,261673,389814,299222,453618,365673
30523,312728,29196,272770,316753,409804,162139,46232,232509,369447,128745,65273,22436,441668,29100,69974,253615,429380,231482,157743,190070
30737,29100,48030,112782,232509,272770,161623,357054,29196,266900,133814,369158,80435,299222,257040,7943,337327,290999,119736,304537,340825
30963,231482,455183,369447,321905,48030,328696,118914,204494,422356,355994,277490,460188,340960,128908,448044,456005,395845,268335,166306,218626
30964,312728,69533,82278,12217,232509,112782,441852,392074,294482,272455,350629,7943,409804,215363,17478,237763,420960,141549,432183,215596
30977,299222,369447,445351,318333,175356,48030,111530,303715,12217,84310,29100,334273,29863,421884,280375,49384,54058,238650,89775,257070
31126,247909,37029,445351,112782,315545,355994,190246,392074,232509,369158,12217,243355,292444,365015,453618,109618,272770,118551,332629,374092
31174,158666,354881,379390,215503,265760,146471,412207,308510,360922,169571,100393,91600,4336,144540,133282,157167,281212,371790,296749,223739
31508,272770,393028,109618,84160,455183,257040,453618,243355,247909,328696,279457,7943,280328,69974,422356,162139,17478,400946,51969,342530
31668,247909,369447,65273,29100,89775,299222,112782,46156,441852,341482,257040,372169,445351,149582,219512,233734,119736,190000,417927,399592
31738,341482,84160,65273,29196,339703,253615,112782,320130,190000,869,259873,445351,102306,409804,316753,308438,22436,248455,266900,399031
31975,29100,390591,194791,158666,189381,369565,400946,273118,455006,115696,48997,143416,357564,387377,412898,250015,238650,51314,184199,333191
32016,445351,151444,231482,290999,7943,133907,299222,339703,68000,179601,133814,204494,314789,306590,76196,339808,417927,335641,392074,312728
32252,5411,354233,187946,272770,312728,162139,400946,316753,29196,184903,157743,298009,365673,219512,231482,46232,261673,213834,122604,69974
32277,341482,29100,133907,370653,290999,247909,234255,96924,354233,111530,9877,112782,298009,438484,38965,179601,422425,259873,380237,241555
32360,65273,341482,219512,190000,441852,339703,11279,112782,229382,175356,303715,320130,253615,360487,246589,242152,2104,379911,129299,314392
32413,312728,385261,350629,29100,316753,190000,441852,7943,424506,299222,445351,69533,232509,132347,286731,418795,69507,162139,101718,150103
32427,142466,257040,12217,309778,441852,84160,445351,109618,243355,315543,374092,382751,424515,247909,399031,453618,369158,360487,291877,272770
32622,455183,445351,321905,369447,428257,209994,76196,66737,187934,324290,446522,89380,16344,315543,323381,444593,184331,432357,272907,299222
32642,231482,455183,48030,369447,355994,321905,118914,460188,328696,204494,422356,445351,128908,340960,393028,395845,338660,86532,277490,456005
32800,29196,272770,409804,453618,461686,325310,46232,369447,162139,9877,257040,279457,69974,241555,312728,184903,311405,7943,157743,321089
33027,316753,290999,445351,354233,102306,29100,122604,389158,247909,299222,253615,234255,320130,446820,312728,438484,12217,179601,90240,57788
33065,133907,393028,441852,48030,37029,869,441668,455183,17478,382419,454818,46156,50648,9877,243355,328696,65273,341482,64881,128318
33314,369447,445351,312728,142466,7943,247909,315543,318333,29196,356129,12217,69533,254418,257040,304669,299222,232509,463280,414460,380493
33560,384302,161623,219512,393028,48030,299222,112782,91105,274798,206880,445351,369447,12217,11279,350103,17478,149253,7943,190000,318333
33674,179601,384302,112782,290999,190000,445351,65273,339703,242905,29196,340960,399592,428065,76196,48030,37029,268883,158666,339917,198209
33889,29100,445105,365787,110151,432011,75994,175885,246090,309403,126236,32581,10034,445749,190172,420631,25298,223985,438484,152443,372941
34164,29100,303828,869,254418,118551,266900,272770,58638,303715,308438,232509,432478,400946,89044,276494,368947,432925,432992,438322,125318
34374,393028,84160,455183,109618,243355,133907,118914,389135,9877,453618,441852,231482,340960,161623,158666,345086,303161,441668,168367,228644
34381,315545,320494,422425,193828,388097,48030,456792,402580,380237,119636,370360,156813,246634,369447,106615,39439,418729,10540,385769,29100
34467,37029,445351,316753,464731,393028,155319,422356,434688,195360,315543,150547,233734,448220,444163,12609,248601,52039,358230,228644,175299
34520,312728,69533,232509,29196,272770,290999,384302,190070,291877,22436,179601,46232,445676,316753,354233,303715,128745,63092,120164,66752
34762,247909,369447,12217,445351,48030,257040,290999,312728,315543,29196,119736,318333,309778,84160,62275,334273,291877,85579,125751,68000
34893,102306,133907,445351,299222,354233,184903,461091,369447,316753,389158,402510,57788,133814,78968,247909,365673,56303,330035,221638,175555
34906,133814,323194,378637,158666,334273,460658,190070,98425,247909,279457,109618,354676,66752,243355,367447,396186,46232,48030,68000,162139
35066,48030,29196,312728,272770,29100,290999,161623,257040,400946,228392,247909,436694,34843,409804,69974,12217,453618,244252,546,389158
35390,341482,29100,247909,65273,369158,400946,244252,461686,119736,432478,38965,869,417927,5470,62275,420960,339808,7804,80435,221290
35422,374092,399031,424515,382751,367664,243980,212216,292444,432152,2836,120541,140861,372845,89262,257575,360487,279052,96883,347414,186214
35839,350629,389158,140861,6805,66016,420697,159822,37029,377960,449912,125751,174265,397692,369933,223203,315543,204057,62549,89044,138427
35891,102306,133907,65273,316753,29100,339703,184199,253615,314789,190070,5470,339808,255908,8347,198209,279457,37029,417927,355325,82278
35958,48030,133907,445351,384302,340960,234255,84160,37029,279457,358211,339917,268335,190000,428065,60980,65273,441668,268883,69533,42819
36071,315545,320494,369447,422425,355752,116624,16158,400321,442131,257040,388974,268883,152433,2463,286731,280342,320970,298868,137697,463617
36078,369447,247909,315543,320130,84160,109618,12217,243355,291877,7943,453618,110151,389158,37029,118551,441852,32843,285729,303828,187138
36281,374092,272770,382751,84160,424515,399031,400946,212216,341482,29100,243980,315543,133907,369158,372845,111530,2836,367664,120541,453618
