visitorid,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
7904,88356,27116,66501,259426,57997,77877,139231,64598,316846,431759,216938,35799,315622,343483,430430,332397,18431,343308,89259,452232
7981,70353,381982,152240,319358,183358,375888,64537,9737,10628,23990,24595,30436,35316,43081,43593,48722,52682,68447,70379,81175
8542,257342,79269,150791,152426,304628,370523,274205,55627,370111,191803,236981,408736,439875,25442,452035,45054,213576,120941,8122,48552
8653,72967,370216,210635,410245,172615,229067,424502,347238,174081,3527,160352,343133,101495,223461,160522,35789,14841,68255,198982,15586
8883,259173,72871,345977,179467,27483,108203,125421,242297,294215,305132,339771,353320,363598,432644,11366,440100,321985,13553,64457,66176
8903,188982,82283,281630,9249,246453,453195,191697,7412,44319,202077,196038,322489,324718,35061,390242,23990,24595,30436,68447,81175
8927,274813,48641,74505,306590,143418,314801,80785,180465,95997,264004,299532,337357,344095,463159,424899,252282,263882,364664,231482,156176
8974,150314,378689,439202,234414,205231,97651,1267,49532,102659,202309,252669,253561,287125,314709,316576,385899,416102,12439,14086,19383
9381,153984,100735,104530,126845,227796,241463,353517,392783,400020,460498,38796,108363,162721,184000,195462,207652,232171,233939,317162,73992
9590,68210,71944,231802,231336,25041,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668
9855,8653,413809,103857,122749,288879,464781,127701,346239,183918,295676,95551,153350,255872,83059,371248,465270,457912,387162,334296,406247
10643,247909,342913,68511,239010,278813,328087,101791,139692,216142,276791,300907,41081,50176,122496,128973,131733,223753,302756,343045,351687
10784,297388,315533,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302
10867,233505,300562,223901,172696,298374,295747,428227,286774,425334,385948,367419,269358,197366,218826,56653,203872,266078,295506,25828,288418
11033,22851,259554,333709,197702,139491,99273,145515,441992,293151,263388,34494,192798,409469,220877,172734,210033,187499,189876,45783,158569
11119,96675,218531,261528,2543,7811,40173,91417,219189,248889,289938,313693,335686,378740,422022,428005,956,5922,20866,22558,27350
11373,152433,153301,227867,247999,411373,167543,325652,97565,256124,419387,90219,10716,352822,19677,55049,118742,175058,214371,283919,396750
11549,160992,310168,169194,300601,72481,5237,26692,108075,132726,210597,267608,302363,396478,419690,431804,435931,437298,447634,109470,4020
11590,282235,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233
11874,48030,84888,289950,4115,44297,71398,96075,117885,151974,275333,279741,287975,319080,330322,402827,421471,44396,104937,123861,150645
12188,403,269258,272152,20878,53452,112794,118221,125706,128721,348003,133250,158838,179185,212029,224166,230571,304456,328546,329110,363512
12242,324081,377635,388536,241072,406553,3608,19480,268880,290446,298773,299351,192350,83231,125400,13094,215524,262797,344739,56409,1496
12250,98665,206974,114712,289783,34676,10935,14656,62077,63338,86297,89821,93595,98990,108765,121304,151282,154722,160054,186780,192178
12356,369460,358649,134964,257368,292124,383123,338627,253338,382284,112530,322295,19541,415413,140239,444531,172598,145721,222720,410063,329797
12589,428753,415553,98341,336166,368403,97565,180288,420162,194151,367690,333191,19677,55049,175058,45840,22161,50180,154553,81981,86282
12772,453537,93558,304877,445676,191106,207437,411817,51314,357844,308575,443293,391484,228392,10935,14656,46023,62077,63338,71888,306579
12784,99163,140285,87141,455150,167052,283299,434560,27989,61651,201282,355445,445678,85858,258813,376774,430703,200862,301049,310069,316260
12901,292444,399031,370550,415176,243980,2836,24866,451239,348647,287586,140861,120541,343335,330840,374092,96883,372845,426334,354555,128443
13188,143771,199517,198801,47113,208554,218443,278730,419097,311750,413295,432435,44278,100878,147297,358052,448511,131760,147008,356095,413200
13426,246605,293363,185,1157,2759,8661,10126,10629,13984,15413,18539,18699,24670,25864,28690,33342,34460,36693,39839,41838
13737,345364,456890,194463,278948,32128,63268,233102,445149,453405,398686,458963,376473,446990,252398,439420,414794,228734,107022,21206,36431
13848,78883,268302,296687,209593,202769,234270,142143,348254,270631,227309,156268,28957,35396,41191,49126,60999,61508,71816,91592,92222
14185,198267,252517,379680,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029
14400,834,135334,195296,280240,215668,190987,94179,119438,124067,147083,150975,196871,229955,246392,260489,289353,330107,331412,334492,339615
14735,72788,321882,1536,33165,47883,65408,67839,70260,81415,96145,110709,115952,148984,156909,157273,161986,165047,165140,166566,168960
14894,333184,399859,72156,84773,226815,231346,414997,226824,260585,385401,151206,206392,389356,391417,44584,333600,206755,226672,457550,832
14941,123645,386758,455804,278186,454021,37902,51349,66180,70964,110601,135210,138414,150953,153586,160256,174179,223911,232381,271527,286965
14960,63119,298009,180751,262258,115183,160878,312060,59834,227112,168057,244828,92456,179049,199697,9662,88931,268702,37900,17690,31216
15019,44465,324391,4699,35923,49126,60999,61508,63891,93544,108666,203462,232725,285400,162722,180010,344770,296579,303349,34127,56505
15074,155319,363736,395679,262988,183313,396890,102843,123135,49126,52831,60999,61508,93544,108666,140360,146453,147414,187997,225706,242204
15084,340946,416640,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302
15163,128745,162139,429380,6917,446420,225105,206305,302195,131731,262797,458669,255972,25404,331575,373857,30479,381788,425142,451835,176484
15227,158221,236062,242403,261944,1049,30681,44055,70635,80313,99484,140168,148651,159965,164846,165416,186817,219502,230595,272255,286716
15242,77517,143572,119781,130484,198216,382005,230902,323525,459556,194900,242654,377620,379337,455069,463805,55396,196686,351887,385162,431725
15529,442172,27944,49126,60999,61508,93544,108666,140360,147414,225706,242204,324704,343842,346786,378561,393653,451800,455792,285400,2138
15556,48930,383285,344664,165911,13685,127633,364422,117884,247417,424199,442793,202952,278609,101802,8653,198996,403757,5411,461686,187946
15670,174529,147709,238577,36425,199833,139371,214330,440842,10935,14656,62077,63338,86297,89821,92790,93595,98990,108765,121304,151282
15766,170540,332980,112315,398887,123541,228180,81915,199348,465511,417733,166683,25822,265326,278192,409323,151252,422346,148838,23912,24374
15866,35929,426775,227961,440782,392576,96924,74494,340093,93144,152861,332486,395167,462817,385475,218913,64244,130697,234137,415613,437039
16003,6081,388532,19276,25690,267535,202950,230653,258624,169085,321826,354293,420847,418176,192406,22124,29950,42116,90814,217328,230215
16443,336292,286731,222604,278177,162046,244589,198381,355594,447434,179179,277361,454970,312781,162756,286835,86282,238129,240445,351785,180288
16700,83825,380971,167587,20878,53452,112794,118221,125706,185943,438646,447356,425726,114089,197398,268880,283652,286343,289783,290446,298773
16884,246678,272805,1472,401353,133215,154475,340138,248657,99984,124006,271101,83752,5411,461686,187946,309778,370653,257040,298009,335975
17220,320539,429729,27486,272701,88052,250497,23033,232422,334429,404,1669,6108,6992,15910,23951,34852,36093,42634,50898,59526
17267,33241,109154,12185,23990,24595,30436,48689,52965,56881,68447,77258,81175,151206,155733,167985,180002,192120,198503,205963,206392
17676,18439,266346,379524,454981,174947,312445,301788,350764,297268,83103,373836,360305,195399,295184,183417,97176,329615,374821,272926,278943
17879,171959,406457,445134,450887,143074,173184,176810,27340,42925,48352,55820,61712,133250,141384,224036,224166,306609,329110,338466,383752
17939,316753,344723,69688,179856,457590,93659,190131,262878,273710,136070,199585,240785,264598,265247,322974,253615,234493,198209,325852,426116
18007,66194,458321,334795,200117,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255
18211,287487,171195,457710,274627,163118,406213,157717,16511,49126,60999,61508,93544,108666,127400,147414,189847,224527,227770,242204,250898
18330,86490,100829,12720,68263,96609,246271,371474,21529,132039,6829,71058,297398,75428,99630,277015,94909,108828,220136,195219,173021
18908,158588,181186,46019,52713,54942,79717,121856,134078,144247,153404,155277,160300,186916,193224,227608,248118,249407,266727,297150,307610
19224,237852,297268,411886,18439,133250,224166,329110,383752,396735,455898,301788,16307,32191,72459,102256,140336,159156,198154,266346,363054
19359,382709,188535,325576,351242,436404,104830,287723,241397,213891,278291,406882,220664,209945,300043,134953,160052,388064,349544,64700,92267
19420,274435,379935,257597,369447,93169,445992,283766,109701,150882,129206,176810,184734,357844,418795,384753,356129,359177,62275,431276,456169
19682,46577,334049,154352,287382,262236,172046,400813,185174,294557,297869,85219,112979,312938,39050,350581,150519,175799,313279,266322,372784
19702,217537,437006,407252,308296,292433,302195,3342,108442,273512,299686,301119,362087,393774,59628,243452,36956,41940,266263,361253,38813
19713,272004,25290,126396,6333,10647,24201,45495,89783,112721,124424,127222,149162,181217,244558,324276,327800,363716,372052,382360,402566
19771,11108,81995,318351,113199,209907,336616,425925,379934,393992,7704,14482,46039,112065,227563,234934,284668,286128,307025,445202,308102
20163,136711,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233
20300,202793,238345,249887,307262,304028,167212,266361,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530
20301,34977,243928,14957,130428,26809,105009,284277,387687,5492,19476,69916,71343,78862,83536,100572,119054,128096,144365,152502,167772
20326,260785,96138,139984,463792,49126,60999,61508,93544,108666,147414,242204,455792,8902,17666,30374,64305,168468,242135,245847,274723
20334,53648,92471,67067,267989,303706,276846,169504,156948,292236,336906,166762,170177,424224,86210,246075,298447,68231,26515,19423,387622
20352,246612,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233
20581,154460,380991,203420,412464,220750,336340,6879,183662,104530,126845,241463,353517,392783,400020,460498,246636,451378,106276,189658,24586
20670,227161,372845,186214,95598,424515,46407,374092,140861,63310,213310,416529,237298,177618,382751,187139,147005,148798,16832,292444,243980
20722,430585,129560,153457,140360,99112,183539,225706,247332,318604,324704,343842,368980,378561,381391,451800,463270,324679,538,1874,3710
20789,252023,299545,154775,8015,87675,62805,32500,93829,192003,211975,259647,278380,336668,330029,185082,222772,303586,307733,38083,31952
21109,293946,36310,379580,224833,171430,386697,465949,265587,187030,261256,292558,373513,40105,69058,125344,317883,144090,291561,13475,78899
21340,412898,451636,14265,48901,91827,109371,121486,156706,187793,201642,205112,248343,348614,358307,406143,406179,9741,73638,103295,110676
21530,331276,348119,385693,242008,333072,284079,55485,234668,459659,34860,353935,11471,411637,242464,1233,170936,244924,29196,5411,461686
21689,320130,389158,108486,2980,97565,222196,315237,425521,19677,148090,218746,109583,424701,446411,463617,91839,273822,112129,154553,439963
21954,339317,425708,113041,249473,355678,126297,240374,58518,89934,283716,299420,416328,426759,416511,365992,278445,301718,192648,278245,235743
22066,312202,171254,173627,201718,222410,237333,238212,282618,328982,11412,216051,317972,413756,451160,48455,82318,158830,213556,216246,228103
22148,359251,428827,274798,10628,35316,43081,43593,103272,125968,134802,184202,189387,191235,227993,230475,266344,285037,459848,103221,339939
22151,369993,69003,296431,114137,212223,38680,454877,456703,93493,318421,402047,366403,75510,355356,240149,317697,359177,25762,6946,19476
22383,310944,393111,26634,411482,64700,545,161371,455937,175972,236302,337286,678,1761,20463,27340,32431,42925,182523,399730,273299
22444,70148,416017,427725,363760,102794,1267,329133,400442,24977,678,1761,27340,32431,42925,48352,55820,61712,85742,141384,143459
22678,83336,251951,38680,199736,5945,216516,19438,193752,251657,298904,352539,364007,130473,181491,425173,31788,349766,387019,25920,227861
22695,75630,155094,401477,122965,132316,392250,3415,6273,430256,78666,442463,256589,67766,172916,392348,20671,5411,461686,187946,309778
22998,219839,276051,130981,66405,12752,254748,45653,87823,134852,163902,267198,403108,331555,9658,37341,112758,119404,220950,336314,407493
23397,315571,377683,145730,206930,36370,280328,257420,425593,10935,14656,62077,63338,86297,89821,93595,98990,108765,121304,138414,151282
23874,50367,82389,441345,204914,421548,132726,302149,302363,396478,419690,437298,438536,271439,68902,4020,19531,24522,49646,66946,68558
24102,354881,134191,175907,331937,306505,143293,136182,150882,346384,64305,398178,377286,366177,69285,329587,466676,456056,456169,239584,441415
24104,111150,174566,247018,449117,242369,440240,307594,143857,15980,120832,215584,217685,11009,309499,460625,421085,126703,143035,276960,296460
24116,257040,412324,351695,309778,360487,10259,10628,35316,38715,43081,43593,93229,103272,112962,118998,125420,125968,126709,134802,138589
24150,287717,386113,453270,130514,60606,102899,169989,6466,134303,158935,120806,279767,300232,370404,81588,351008,202098,157371,447184,68914
24197,46019,52713,54942,79717,121856,134078,144247,153404,155277,160300,186916,193224,227608,248118,249407,266727,297150,307610,321996,326564
24238,215125,38115,91676,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029
24427,40103,402886,65097,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029
24772,66173,383250,104540,418286,53341,119351,240321,354593,382299,56717,136847,321162,435054,78267,281345,22668,290584,267596,138219,241449
24840,409804,322501,14520,46232,152395,371204,412865,133250,224166,329110,383752,396735,322018,244405,152240,120832,215584,217685,77686,10750
25020,11663,52301,399592,179601,170262,257200,290999,545,43322,372394,338307,162652,455937,425920,18335,39184,41191,71816,91592,112503
25156,386209,193840,321325,414712,321246,28134,460184,349889,457711,415331,90230,446522,3621,4422,9934,19409,30229,67854,75106,75683
25525,357671,433895,322485,237298,83978,16832,122774,259614,65284,328949,12765,172230,34799,123386,29301,440123,67341,426026,170314,205430
25574,423828,424635,48499,68541,158833,144890,134953,191769,60828,134824,364854,367667,205313,46089,408958,30813,445026,315939,136697,176605
26038,322211,397311,4115,44297,71398,96075,151974,179185,230571,275333,279741,287975,319080,328546,330322,375752,402827,421471,131007,10716
26131,159979,338192,13855,403812,50938,12941,258426,266096,453454,35439,183997,118958,198413,334637,452102,6133,11475,12185,12200,13393
26189,189272,283859,74150,349258,429846,159466,165754,257553,273026,278459,410085,19691,36547,102365,114897,363284,427375,112423,133101,154585
26226,293576,324677,202450,261011,95430,225740,257660,274847,342026,219442,87858,284418,325673,43522,120112,138044,142774,181080,317772,327773
26296,236639,263557,75153,158256,269105,207865,337060,134583,420555,286338,408285,197753,420637,211856,454793,448021,386593,363648,271685,194498
26343,91438,192245,228012,297618,158641,48722,52682,60706,70379,160084,207247,438392,446231,163287,357844,127634,374760,32108,36799,87799
26467,226872,245997,157109,357587,237030,171814,223829,168283,332817,348155,393987,461100,416264,15995,21198,31700,44845,255989,390082,102797
26472,433228,330468,408327,327604,417970,256329,288552,60412,223736,393598,190534,272916,428891,380014,5411,461686,187946,309778,370653,257040
26948,256827,369925,188124,76231,456025,42463,162481,443405,345069,190859,188236,252765,58417,364117,155664,277391,293423,133517,310578,329113
27191,108021,117341,28867,454393,153961,29455,176981,408189,290726,363325,189208,252314,10935,14656,62077,63338,86297,89821,93595,98990
27256,405666,441414,296652,396709,283858,160473,79528,41955,113199,118146,209907,285949,292412,336616,342553,385740,456390,463966,199265,357298
27329,349178,439070,347244,321162,406403,309656,1536,33165,47883,65408,67839,70260,81415,96145,110709,115952,148984,156909,157273,161986
27360,375699,257623,257000,30588,126125,94337,436311,114130,66623,100090,143543,163684,194996,195130,198304,242751,326491,345676,346706,402615
27375,280375,97139,298868,355908,152433,238777,16813,175356,227867,26694,247999,411373,228112,36787,436412,259725,179185,230571,338208,328546
27634,358404,49894,54072,139939,265351,423951,382149,48724,194587,181764,190095,85783,237763,457539,429498,244594,37734,181705,27412,216241
27685,7212,304540,197422,124214,422022,137514,266717,407576,399234,1510,94536,111436,152284,199279,246647,283776,312384,408695,412306,410001
27773,258094,125997,199790,228210,232502,48855,334398,109510,213223,283048,374571,233863,74168,188685,338932,29865,132663,153781,316911,457749
27784,169260,300766,348457,273416,373092,446565,247578,170751,10935,14656,19208,62077,63338,86297,89821,93595,98990,108765,121304,140360
27808,207437,445676,106713,267352,362031,431023,51314,93558,304877,453537,306579,191106,10417,42306,106124,124759,229619,260789,271082,303933
27930,208869,322489,413895,19476,27646,61237,78862,111787,143609,144365,157267,161293,216062,222417,279624,285563,286797,287184,287657,293865
28228,108374,308426,27646,61237,111787,143609,157267,161293,216062,279624,286797,287657,308906,350189,424685,447871,453259,457671,150485,15960
28288,124272,138426,27483,125421,242297,294215,305132,339771,353320,363598,432644,99268,13553,28183,64457,66176,74291,95865,112398,146073
28742,158666,226089,379535,395017,8788,12601,25714,27694,33100,36093,46385,51219,56070,60840,63348,66378,74147,84664,97727,100742
29291,181100,447169,348410,43241,411198,104098,134834,172532,193274,270846,74014,65992,97160,211434,361837,374844,223076,20702,83928,152575
29309,394840,207088,62557,215596,69533,461579,437804,50626,375932,332005,190004,198858,278351,406597,443097,213051,296619,414460,378637,26700
29732,191852,317050,238865,49608,398178,441661,456414,20878,39077,52947,53452,61000,87118,90685,112794,118221,125706,185943,197398,283652
29758,103973,41427,383767,111083,117493,382860,180288,367690,97565,182523,399730,408043,45840,380303,95448,162652,415263,415976,273299,17323
29802,338721,252314,203231,350083,98065,144304,353910,320788,113522,215759,390199,450835,294935,334423,194596,280848,46023,101883,137767,153432
30273,214332,324946,422679,97811,377512,376934,322018,185009,271359,282692,185,1157,2759,8661,10126,10628,10629,13984,15413,18539
30297,215824,58316,381119,368650,352042,74634,87799,276737,284552,311333,385604,438166,451095,9176,49261,88142,88202,109648,163902,185140
30523,241578,17951,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302
30737,248626,357054,55925,183087,329408,178274,81104,10935,14656,51822,62077,63338,86297,89821,93595,98990,108765,121304,122760,151282
30963,32873,94017,21758,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029
30964,153728,406268,294338,352262,450271,381492,433457,232750,400330,56000,261087,326783,388045,63436,89797,185114,39050,278482,141927,101652
30977,54058,284871,23200,23990,24595,27646,30436,61237,68447,81175,111787,116323,125400,126015,143609,152240,155733,157267,161293,192120
31126,139770,190246,110807,230493,678,1761,6333,10647,20878,24201,32431,45495,53452,58822,62697,85742,89783,108211,112721,112794
31174,97300,111421,135523,162369,217404,234729,354419,355988,378786,463544,95128,104313,460,42162,180656,278863,306647,399256,429296,91341
31508,262661,454671,86956,230000,47183,413603,85604,38582,256358,263159,442178,104183,249819,458152,380592,327541,297338,375681,161650,360124
31668,158829,381478,393142,398178,19476,78862,83831,104530,120898,126845,144365,222417,241463,285563,287184,293865,306948,311433,353517,392783
31738,413166,371662,429541,241776,244789,202245,379657,363411,208107,222207,113462,236180,182644,58557,105878,302289,339703,465292,178022,191852
31975,15828,23990,24595,30436,68447,81175,155733,192120,221792,268487,333167,339569,341534,361192,385522,386763,387024,388946,389632,395994
32016,151503,121878,124528,19165,416823,67256,449386,435013,398674,335641,405690,287193,374780,151841,230383,400741,150830,395849,337151,83179
32252,133138,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233
32277,354753,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233
32360,229382,289976,97565,222196,92186,408043,152627,337286,387167,279373,152443,45840,129299,180288,22161,362528,2104,280720,352559,415263
32413,385261,211243,187226,150398,274696,84409,1049,1496,2166,2991,3058,3701,4388,4547,4682,5484,5590,5611,7111,7876
32427,253156,193488,462224,397429,194940,308866,17655,23593,45089,153135,168927,238445,302066,392526,412656,414410,192288,265326,104730,46023
32622,166708,332555,73982,115188,399667,321090,201444,109475,27183,292474,320322,377028,319461,12260,203642,453084,79826,126997,268049,34805
32642,413951,41645,237208,290732,444763,10628,35316,35439,43081,43593,83831,103272,120898,125968,134802,183997,184202,189387,191235,227993
32800,168952,208750,114200,460991,60023,75087,351288,38816,45388,190633,432683,152852,220261,352532,233454,334207,384089,260545,104769,164143
33027,206308,423563,138201,103621,111208,352817,18303,9747,56629,326893,398968,171758,181912,13502,81494,115713,239500,291330,294768,298677
33065,128318,408124,116527,293963,416041,22558,46023,49126,60999,61508,93544,101883,108666,137767,147414,153432,188600,242204,322332,349581
33314,170936,414460,19476,78862,83831,120898,144365,200345,222417,285563,287184,293865,306948,311433,365004,428000,429115,440662,465017,267519
33560,193908,193286,101282,149253,145504,268581,190536,29107,97977,451675,190624,454981,65761,200899,179162,296046,404902,409106,448115,333588
33674,315179,181485,189,6258,10804,11891,18721,23215,26866,29348,39140,46532,51299,51492,60520,67192,71485,76598,78522,85969
33889,102081,258743,372941,181594,15426,351982,197989,82032,416338,226126,371906,432292,153393,161030,24388,347167,295944,374348,80407,139326
34164,263767,284973,359012,323800,29429,128349,318500,356485,144392,201838,325748,349273,378855,455682,292181,381188,404633,25367,112586,231596
34374,12666,15741,20801,161667,390083,413395,457925,32110,37953,85817,212843,307044,421930,466243,337187,426882,69304,405339,95953,303161
34381,193828,416017,402580,422425,370360,320494,315545,329133,400442,24977,106615,25762,94437,162652,146613,366451,174724,456169,363760,338395
34467,155319,254750,234540,216984,27410,45191,56701,138094,256184,101360,313875,123135,10882,77557,142365,49126,52831,60999,61508,93544
34520,23804,178219,82774,147746,256431,409280,29156,328376,201418,243112,447877,61512,47541,259676,207911,257230,3608,19480,40401,45025
34762,448936,387254,133722,67094,326414,120178,43568,169225,285732,239514,277366,99788,234146,182872,269459,175912,463928,50285,262612,398297
34893,381295,216108,6471,400603,69981,208460,28163,84761,107468,222207,223639,286613,453270,165991,290839,291898,267964,449788,402510,130514
34906,228903,160441,415677,48130,133814,45731,27024,92885,156010,188636,344581,396447,265419,147684,28789,51997,53022,67630,79946,87799
35066,292818,47226,332592,436694,405119,6460,19839,21130,25132,39133,48485,84788,91394,126806,132173,138414,142012,165797,181445,181753
35390,221290,404653,215540,29162,22558,188600,319503,403332,437465,457635,362447,17741,67179,151848,249186,256193,276469,302448,353606,453360
35422,104689,246704,437667,234564,83700,261667,264532,297039,86187,1625,7765,331633,179208,338427,230223,450455,418619,64253,399031,5411
35839,6805,451312,10935,14656,62077,63338,86297,89821,93595,98990,108765,121304,151282,154722,160054,186780,192178,209149,225137,231407
35891,165228,251970,39199,8434,388465,29058,74424,408477,72476,217762,464086,415715,194427,200117,239181,8653,430200,41054,59482,298206
35958,127289,89728,270920,306763,330377,358736,22105,1049,19476,30681,44055,70635,78862,80313,99484,140168,144365,148651,159965,164846
36071,136854,367214,62616,283896,454560,439070,249888,188133,287549,347244,191060,139773,122864,160499,291039,69450,433796,299466,245485,139054
36078,217370,223366,58822,62697,108211,133407,171699,227306,228074,274454,295701,320651,352572,357398,370308,370351,402564,429715,289041,71532
36281,315196,254415,446454,175285,36194,258508,94629,40528,65580,438234,9737,25690,433957,446222,258310,559,35336,203002,149414,419584
