visitorid,recommendation_timestamp,target_itemid,target_event,target_previously_seen,target_cold_at_T,target_rank,history_interaction_count,history_bucket,hit_rate_at_5,recall_at_5,ndcg_at_5,mrr_at_5,precision_at_5,hit_rate_at_10,recall_at_10,ndcg_at_10,mrr_at_10,precision_at_10,hit_rate_at_20,recall_at_20,ndcg_at_20,mrr_at_20,precision_at_20
3493,2015-09-01 03:00:00+00:00,401536,view,False,True,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4266,2015-09-01 03:00:00+00:00,435088,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4308,2015-09-01 03:00:00+00:00,8724,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4590,2015-09-01 03:00:00+00:00,98555,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4716,2015-09-01 03:00:00+00:00,182785,view,False,False,,5,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4878,2015-09-01 03:00:00+00:00,28477,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4944,2015-09-01 03:00:00+00:00,44788,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4955,2015-09-01 03:00:00+00:00,374841,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5148,2015-09-01 03:00:00+00:00,325859,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5857,2015-09-01 03:00:00+00:00,266538,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6182,2015-09-01 03:00:00+00:00,282650,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6245,2015-09-01 03:00:00+00:00,432894,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6399,2015-09-01 03:00:00+00:00,128296,view,True,False,3,13,10+,1.0,1.0,0.5,0.3333333333333333,0.2,1.0,1.0,0.5,0.3333333333333333,0.1,1.0,1.0,0.5,0.3333333333333333,0.05
6533,2015-09-01 03:00:00+00:00,149253,view,True,False,2,3,2-3,1.0,1.0,0.6309297535714575,0.5,0.2,1.0,1.0,0.6309297535714575,0.5,0.1,1.0,1.0,0.6309297535714575,0.5,0.05
7127,2015-09-01 03:00:00+00:00,150318,view,True,False,1,9,4-9,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
7255,2015-09-01 03:00:00+00:00,85813,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7555,2015-09-01 03:00:00+00:00,182642,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7883,2015-09-01 03:00:00+00:00,141240,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8132,2015-09-01 03:00:00+00:00,449226,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8139,2015-09-01 03:00:00+00:00,350629,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8316,2015-09-01 03:00:00+00:00,340158,view,True,False,2,10,10+,1.0,1.0,0.6309297535714575,0.5,0.2,1.0,1.0,0.6309297535714575,0.5,0.1,1.0,1.0,0.6309297535714575,0.5,0.05
8323,2015-09-01 03:00:00+00:00,125497,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8402,2015-09-01 03:00:00+00:00,119006,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8411,2015-09-01 03:00:00+00:00,46232,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8540,2015-09-01 03:00:00+00:00,11718,view,False,False,,12,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8927,2015-09-01 03:00:00+00:00,18799,view,False,False,,9,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8972,2015-09-01 03:00:00+00:00,203850,view,False,False,,5,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9085,2015-09-01 03:00:00+00:00,171406,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9087,2015-09-01 03:00:00+00:00,221501,view,False,False,,7,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9145,2015-09-01 03:00:00+00:00,408059,view,False,False,,13,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9590,2015-09-01 03:00:00+00:00,420437,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9661,2015-09-01 03:00:00+00:00,465455,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9863,2015-09-01 03:00:00+00:00,199648,view,False,False,,5,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9890,2015-09-01 03:00:00+00:00,103833,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10068,2015-09-01 03:00:00+00:00,192269,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10643,2015-09-01 03:00:00+00:00,113225,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11101,2015-09-01 03:00:00+00:00,382010,view,False,True,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11266,2015-09-01 03:00:00+00:00,63765,view,True,False,2,2,2-3,1.0,1.0,0.6309297535714575,0.5,0.2,1.0,1.0,0.6309297535714575,0.5,0.1,1.0,1.0,0.6309297535714575,0.5,0.05
11297,2015-09-01 03:00:00+00:00,321956,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11355,2015-09-01 03:00:00+00:00,72910,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11660,2015-09-01 03:00:00+00:00,365986,view,False,False,,7,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11678,2015-09-01 03:00:00+00:00,207494,view,False,False,,5,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11733,2015-09-01 03:00:00+00:00,247127,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11893,2015-09-01 03:00:00+00:00,452780,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11919,2015-09-01 03:00:00+00:00,336852,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12302,2015-09-01 03:00:00+00:00,342522,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12462,2015-09-01 03:00:00+00:00,259076,view,False,False,,5,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12589,2015-09-01 03:00:00+00:00,7409,view,False,False,,7,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13078,2015-09-01 03:00:00+00:00,76060,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13518,2015-09-01 03:00:00+00:00,15587,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13762,2015-09-01 03:00:00+00:00,17348,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14056,2015-09-01 03:00:00+00:00,303517,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14185,2015-09-01 03:00:00+00:00,264475,view,False,True,,5,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14376,2015-09-01 03:00:00+00:00,326213,view,True,False,2,2,2-3,1.0,1.0,0.6309297535714575,0.5,0.2,1.0,1.0,0.6309297535714575,0.5,0.1,1.0,1.0,0.6309297535714575,0.5,0.05
14400,2015-09-01 03:00:00+00:00,189105,view,False,True,,10,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14653,2015-09-01 03:00:00+00:00,163901,view,True,False,1,5,4-9,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
14741,2015-09-01 03:00:00+00:00,161431,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14940,2015-09-01 03:00:00+00:00,207785,view,True,False,3,9,4-9,1.0,1.0,0.5,0.3333333333333333,0.2,1.0,1.0,0.5,0.3333333333333333,0.1,1.0,1.0,0.5,0.3333333333333333,0.05
15001,2015-09-01 03:00:00+00:00,48635,view,False,True,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15005,2015-09-01 03:00:00+00:00,312959,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15084,2015-09-01 03:00:00+00:00,51542,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15163,2015-09-01 03:00:00+00:00,162139,view,True,False,2,6,4-9,1.0,1.0,0.6309297535714575,0.5,0.2,1.0,1.0,0.6309297535714575,0.5,0.1,1.0,1.0,0.6309297535714575,0.5,0.05
15227,2015-09-01 03:00:00+00:00,158221,view,True,False,1,7,4-9,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
15431,2015-09-01 03:00:00+00:00,433796,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15653,2015-09-01 03:00:00+00:00,415062,view,False,False,,18,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15866,2015-09-01 03:00:00+00:00,162361,view,False,False,,7,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16069,2015-09-01 03:00:00+00:00,211513,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16133,2015-09-01 03:00:00+00:00,17302,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16725,2015-09-01 03:00:00+00:00,111530,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16823,2015-09-01 03:00:00+00:00,419401,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17028,2015-09-01 03:00:00+00:00,192876,view,False,False,,16,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17348,2015-09-01 03:00:00+00:00,263245,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17362,2015-09-01 03:00:00+00:00,27516,view,False,False,,17,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17423,2015-09-01 03:00:00+00:00,362906,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17490,2015-09-01 03:00:00+00:00,231476,view,True,False,1,5,4-9,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
17629,2015-09-01 03:00:00+00:00,399366,view,False,False,,10,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17939,2015-09-01 03:00:00+00:00,227653,view,False,False,,15,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17970,2015-09-01 03:00:00+00:00,415562,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18007,2015-09-01 03:00:00+00:00,20434,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18044,2015-09-01 03:00:00+00:00,387164,view,False,False,,6,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18188,2015-09-01 03:00:00+00:00,61664,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18193,2015-09-01 03:00:00+00:00,245085,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18416,2015-09-01 03:00:00+00:00,440984,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18617,2015-09-01 03:00:00+00:00,428085,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18905,2015-09-01 03:00:00+00:00,328642,view,True,False,2,3,2-3,1.0,1.0,0.6309297535714575,0.5,0.2,1.0,1.0,0.6309297535714575,0.5,0.1,1.0,1.0,0.6309297535714575,0.5,0.05
18934,2015-09-01 03:00:00+00:00,119538,view,True,False,1,4,4-9,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
19063,2015-09-01 03:00:00+00:00,245085,view,True,False,,13,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19111,2015-09-01 03:00:00+00:00,59634,view,False,False,,10,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19177,2015-09-01 03:00:00+00:00,103538,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19702,2015-09-01 03:00:00+00:00,165966,view,True,False,20,50,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.227670248696953,0.05,0.05
19736,2015-09-01 03:00:00+00:00,416703,view,True,False,1,2,2-3,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
20078,2015-09-01 03:00:00+00:00,428010,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20209,2015-09-01 03:00:00+00:00,384302,view,True,False,1,2,2-3,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
20390,2015-09-01 03:00:00+00:00,445910,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20463,2015-09-01 03:00:00+00:00,177183,view,True,False,2,3,2-3,1.0,1.0,0.6309297535714575,0.5,0.2,1.0,1.0,0.6309297535714575,0.5,0.1,1.0,1.0,0.6309297535714575,0.5,0.05
20670,2015-09-01 03:00:00+00:00,448220,view,False,False,,5,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20811,2015-09-01 03:00:00+00:00,460840,view,False,True,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21033,2015-09-01 03:00:00+00:00,180861,view,True,False,1,2,2-3,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
21100,2015-09-01 03:00:00+00:00,129394,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21350,2015-09-01 03:00:00+00:00,451275,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21460,2015-09-01 03:00:00+00:00,169720,addtocart,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21518,2015-09-01 03:00:00+00:00,287739,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21610,2015-09-01 03:00:00+00:00,141157,view,False,False,,20,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21682,2015-09-01 03:00:00+00:00,192875,view,False,False,,5,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21690,2015-09-01 03:00:00+00:00,194537,view,True,False,3,3,2-3,1.0,1.0,0.5,0.3333333333333333,0.2,1.0,1.0,0.5,0.3333333333333333,0.1,1.0,1.0,0.5,0.3333333333333333,0.05
22074,2015-09-01 03:00:00+00:00,57631,view,False,False,,7,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22386,2015-09-01 03:00:00+00:00,361499,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22606,2015-09-01 03:00:00+00:00,123466,view,False,False,,8,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22696,2015-09-01 03:00:00+00:00,17114,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22806,2015-09-01 03:00:00+00:00,424378,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22983,2015-09-01 03:00:00+00:00,179514,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23036,2015-09-01 03:00:00+00:00,417335,view,False,True,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23052,2015-09-01 03:00:00+00:00,250252,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23076,2015-09-01 03:00:00+00:00,202920,view,False,False,,33,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23206,2015-09-01 03:00:00+00:00,138931,view,True,False,1,8,4-9,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
23411,2015-09-01 03:00:00+00:00,330785,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24077,2015-09-01 03:00:00+00:00,100507,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24116,2015-09-01 03:00:00+00:00,89775,view,False,False,,5,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24180,2015-09-01 03:00:00+00:00,107603,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24248,2015-09-01 03:00:00+00:00,152979,view,False,False,,6,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24262,2015-09-01 03:00:00+00:00,342522,view,True,False,1,7,4-9,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
24780,2015-09-01 03:00:00+00:00,384302,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
