visitorid,recommendation_timestamp,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
1879,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
2432,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
2866,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
3153,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
3411,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
3440,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
3926,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
4554,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
4752,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
5854,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
5861,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
5929,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
6168,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
6180,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
6241,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
6468,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
6561,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
6565,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
6693,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
6780,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
7127,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
7194,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
7324,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
7341,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
7483,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
7603,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
7625,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
7904,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
7981,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
8542,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
8653,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
8883,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
8903,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
8927,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
8974,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
9381,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
9590,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
9855,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
10643,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
10784,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
10867,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
11033,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
11119,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
11373,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
11549,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
11590,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
11874,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
12188,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
12242,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
12250,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
12356,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
12589,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
12772,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
12784,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
12901,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
13188,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
13426,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
13737,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
13848,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
14185,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
14400,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
14735,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
14894,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
14941,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
14960,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
15019,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
15074,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
15084,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
15163,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
15227,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
15242,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
15529,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
15556,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
15670,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
15766,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
15866,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
16003,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
16443,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
16700,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
16884,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
17220,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
17267,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
17676,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
17879,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
17939,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
18007,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
18211,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
18330,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
18908,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
19224,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
19359,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
19420,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
19682,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
19702,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
19713,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
19771,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
20163,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
20300,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
20301,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
20326,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
20334,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
20352,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
20581,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
20670,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
20722,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
20789,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
21109,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
21340,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
21530,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
21689,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
21954,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
22066,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
22148,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
22151,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
22383,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
22444,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
22678,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
22695,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
22998,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
23397,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
23874,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
24102,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
24104,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
24116,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
24150,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
24197,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
24238,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
24427,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
24772,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
24840,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
25020,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
25156,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
25525,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
25574,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
26038,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
26131,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
26189,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
26226,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
26296,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
26343,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
26467,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
26472,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
26948,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
27191,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
27256,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
27329,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
27360,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
27375,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
27634,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
27685,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
27773,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
27784,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
27808,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
27930,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
28228,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
28288,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
28742,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
29291,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
29309,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
29732,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
